month,sessions
2012-03,1879
2012-04,3734
2012-05,3736
2012-06,3963
2012-07,4249
2012-08,6097
2012-09,6546
2012-10,8183
2012-11,14011
2012-12,10072
2013-01,6401
2013-02,7168
2013-03,6264
2013-04,7971
2013-05,8449
2013-06,8325
2013-07,8903
2013-08,9180
2013-09,9580
2013-10,10773
2013-11,14032
2013-12,15735
2014-01,14825
2014-02,16285
2014-03,15669
2014-04,17353
2014-05,18061
2014-06,17715
2014-07,19038
2014-08,18590
2014-09,19513
2014-10,21526
2014-11,25125
2014-12,29722
2015-01,25337
2015-02,23778
2015-03,15083
